year,name,gender,ratio,females,males,total
2014,Morgan,F,88,2984,402,3386
2014,Ruby,F,100,3383,0,3383
2014,Brantley,M,99,45,3322,3367
2014,Sophie,F,100,3364,0,3364
2014,Braxton,M,99,29,3320,3349
2014,Kaiden,M,98,81,3247,3328
2014,Alex,M,95,157,3159,3316
2014,Declan,M,100,16,3299,3315
2014,Eric,M,100,5,3294,3299
2014,Alexandra,F,100,3288,0,3288
2014,Giovanni,M,100,10,3230,3240
2014,Harrison,M,100,11,3184,3195
2014,Theodore,M,100,0,3191,3191
2014,Bryce,M,98,67,3099,3166
2014,Wesley,M,99,43,3112,3155
2014,Diego,M,100,0,3154,3154
2014,Charlie,M,54,1432,1670,3102
2014,Reagan,F,93,2882,205,3087
2014,Lauren,F,100,3072,7,3079
2014,Greyson,M,98,55,3022,3077
2014,Bailey,F,96,2929,133,3062
2014,Gianna,F,100,3061,0,3061
2014,Ivan,M,100,0,3059,3059
2014,Vivian,F,100,3040,5,3045
2014,Isabelle,F,100,3044,0,3044
2014,Alice,F,100,3042,0,3042
2014,Hadley,F,99,2992,45,3037
2014,Rylee,F,92,2753,247,3000
2014,George,M,100,0,2988,2988
2014,Jasmine,F,100,2988,0,2988
2014,Kayla,F,100,2982,0,2982
2014,Timothy,M,100,0,2981,2981
2014,Ashton,M,94,165,2797,2962
2014,Weston,M,100,7,2944,2951
2014,Cora,F,100,2945,5,2950
2014,Silas,M,100,5,2900,2905
2014,Jonah,M,99,26,2878,2904
2014,Hazel,F,100,2877,8,2885
2014,Kimberly,F,100,2883,0,2883
2014,Sydney,F,98,2831,49,2880
2014,Colin,M,100,5,2869,2874
2014,Antonio,M,100,0,2871,2871
2014,Richard,M,100,0,2857,2857
2014,Clara,F,100,2833,0,2833
2014,Payton,F,86,2397,406,2803
2014,Trinity,F,99,2781,16,2797
2014,Axel,M,100,9,2777,2786
2014,Natalia,F,100,2778,0,2778
2014,Steven,M,100,0,2778,2778
2014,Jordyn,F,91,2533,239,2772
2014,Valentina,F,100,2769,0,2769
2014,Jayce,M,98,68,2696,2764
2014,Maria,F,100,2740,6,2746
2014,Jocelyn,F,100,2744,0,2744
2014,Kendall,F,89,2432,310,2742
2014,Kaleb,M,100,6,2734,2740
2014,Ariel,F,88,2419,319,2738
2014,Miguel,M,100,0,2737,2737
2014,Preston,M,99,19,2705,2724
2014,Bryan,M,100,9,2713,2722
2014,Aurora,F,100,2718,0,2718
2014,Emerson,F,61,1670,1048,2718
2014,Ryker,M,98,48,2666,2714
2014,Eliana,F,100,2708,0,2708
2014,Jude,M,96,113,2564,2677
2014,Victor,M,100,5,2664,2669
2014,Patrick,M,100,0,2658,2658
2014,Joel,M,100,11,2641,2652
2014,Kai,M,90,262,2387,2649
2014,Maddox,M,96,93,2554,2647
2014,Brielle,F,100,2638,0,2638
2014,Bennett,M,96,112,2525,2637
2014,Emmett,M,100,12,2623,2635
2014,Grant,M,100,8,2624,2632
2014,Liliana,F,100,2624,0,2624
2014,Jameson,M,98,48,2575,2623
2014,Mary,F,100,2611,5,2616
2014,Alejandro,M,100,6,2593,2599
2014,Elena,F,100,2598,0,2598
2014,Marcus,M,100,0,2592,2592
2014,Molly,F,100,2578,5,2583
2014,Kingston,M,100,10,2566,2576
2014,Edward,M,100,5,2567,2572
2014,Eden,F,83,2117,447,2564
2014,Andrea,F,99,2543,19,2562
2014,Makayla,F,100,2559,0,2559
2014,Emmanuel,M,100,8,2548,2556
2014,Everett,M,99,34,2520,2554
2014,Abel,M,100,0,2551,2551
2014,Lilly,F,100,2550,0,2550
2014,Jaden,M,97,85,2433,2518
2014,Adalynn,F,100,2512,0,2512
2014,Jeremy,M,100,5,2506,2511
2014,Nicole,F,100,2511,0,2511
2014,Brian,M,100,0,2510,2510
2014,Alan,M,100,9,2490,2499
2014,Delilah,F,100,2496,0,2496
2014,Jesse,M,97,69,2424,2493
2014,Kaden,M,99,20,2440,2460
2014,Kinsley,F,100,2429,8,2437
2014,Kyle,M,97,65,2370,2435
2014,Jade,F,98,2369,59,2428
2014,Tucker,M,99,17,2406,2423
2014,King,M,100,0,2418,2418
2014,Paige,F,100,2395,5,2400
2014,Mariah,F,100,2383,7,2390
2014,Emery,F,85,2026,361,2387
2014,Willow,F,99,2373,14,2387
2014,Brooke,F,100,2375,6,2381
2014,Karter,M,89,273,2103,2376
2014,Lyla,F,100,2368,0,2368
2014,Mya,F,100,2367,0,2367
2014,Reese,F,83,1960,403,2363
2014,Malachi,M,100,9,2352,2361
2014,Abraham,M,100,9,2351,2360
2014,Luca,M,97,67,2291,2358
2014,Bradley,M,98,43,2308,2351
2014,Ezekiel,M,100,0,2347,2347
2014,Mckenzie,F,99,2303,26,2329
2014,Ximena,F,100,2323,6,2329
2014,Finley,F,64,1498,829,2327
2014,Calvin,M,100,5,2319,2324
2014,Isabel,F,100,2313,5,2318
2014,Luna,F,100,2314,0,2314
2014,Oscar,M,100,0,2309,2309
2014,Rowan,M,67,770,1531,2301
2014,Aidan,M,99,20,2265,2285
2014,Ivy,F,99,2269,16,2285
2014,Josephine,F,100,2255,0,2255
